,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
1843,Draconian,Doom_metal,"Säffle, Sweden",['Doom metaldeath-doomgothic metalblack metal (demos)'],['1994–present'],['Napalm'],"['Johan Ericson ', ' Anders Jacobsson ', ' Jerry Torstensson ', ' Daniel Arvidsson ', ' Heike Langhans']","['Lisa Johansson ', ' Fredrik Johansson ', ' Andy Hindenäs ', ' Andreas Karlsson ', ' Jesper Stolpe ', ' Susanne Arvidsson ', ' Magnus Bergström ', ' Elena Andersson ', ' Thomas Jäger']"
1844,Drottnar,Doom_metal,"Fredrikstad, Norway","['Black metal, death-doom, Christian metal, progressive metal']",['1996–present'],['Endtime (2006–present)  Momentum Scandinavia (2003)  Plankton (2000)'],"['Sven-Erik Lind ', ' Karl Fredrik Lind ', ' Bengt Olsson ', ' Håvar Wormdahl ', ' Glenn-David Lind']",['Bjarne Peder Lind']
1845,Earth,Doom_metal,"Olympia, Washington, United States","['Drone metal', 'instrumental rock', 'psychedelic rock', 'post-rock']","['1989–1997, 2003–present']","['Sub Pop', 'No Quarter', 'Or', 'Southern Lord', 'Blast First/Mute', 'Sargent House']","['Dylan Carlson', 'Adrienne Davies', 'Don McGreevy', 'Bill Herzog', 'Tristan Jemsek', '']","['Slim Moon', 'Greg Babior', 'Kelly Canary', 'Joe Preston', 'Ian Dickson', 'Dave Harwell', 'Sean McElligot', 'John Schuller', 'Michael McDaniel', 'Jonas Haskins', 'Steve Moore', 'Angelina Baldoz', 'Karl Blau', 'Lori Goldston', '']"
1846,Earthride,Doom_metal,"Maryland, United States",['Doom metalStoner metal'],['2000 – present'],['Southern LordEarth Brain Records'],"['Dave Sherman', 'Kyle Van Steinburg', 'Josh Hart', 'Eric Little']","['Joe Ruthvin', 'Rob Hampshire']"
1847,Electric Wizard,Doom_metal,"Dorset, England",['Doom metalstoner rocksludge metal'],['1993–present'],['Rise Above (1994–2013)Witchfinder (2014–present)'],"['Jus Oborn', 'Liz Buckingham', 'Simon Poole']","['Mark Greening', 'Tim Bagshaw', 'Rob Al-Issa', 'Justin Greaves', 'Shaun Rutter', 'Tas Danazoglou', 'Glenn Charman', 'Clayton Burgess']"
1848,Esoteric,Doom_metal,"Birmingham, England, UK","['Funeral doom, death-doom']",['1992–present'],['Season of MistEibon RecordsAesthetic Death'],"['Greg Chandler', 'Mark Bodossian', 'Joe Fletcher', 'Jim Nolan', 'Gordon Bicknell', 'Jan Krause']",['Kris Clayton']
1849,Eternal Elysium,Doom_metal,"Nagoya, Japan","['Doom metal, stoner metal']",['1991–present'],"['MeteorCity, Diwphalanx, Cornucopia']","['Yukito Okazaki', 'Tana Haugo', 'Antonio Ishikawa']","['Atsutoshi Tachimoto', 'Jiro Murakami', 'Jun Kawasaki', 'Yashuhiro Okada', 'Eiichi Okuyama', 'Takashi Kuroda', 'Tom Huskinson', 'Toshiaki Umemura']"
1850,Evoken,Doom_metal,"Lyndhurst, New Jersey, United States",['Funeral doom'],['1992–present'],"['Elegy Records, Avantgarde Music, I Hate, Profound Lore']","['John Paradiso', 'Chris Molinari', 'Dave Wagner', 'Don Zaros', 'Vince Verkay']","['Nick Orlando', 'Phil Wilson', 'Rob Robichaud', 'Bill Manley', 'Steve Moran', 'Dario Derna', 'Denny Hahn']"
1851,Eyehategod,Doom_metal,"New Orleans, Louisiana, United States",['Sludge metal'],['1988–present'],"['Century Media, Emetic']","['Jimmy Bower', 'Mike Williams', 'Gary Mader', 'Aaron Hill']","['Joey LaCaze', 'Brian Patton', 'Steve Dale', 'Mark Schultz', 'Vince LeBlanc', 'Daniel Nick']"
1852,Exorcism,Doom_metal,International,['Doom metal'],['2006-present'],"['Dream Records, Golden Core Records,']","['Csaba Zvekan', 'Tore Moren', 'Nic Angileri', 'Atma Anur']",
1853,Faith,Doom_metal,,,,,,
1854,Fall of the Idols,Doom_metal,,,,,,
1855,Floor,Doom_metal,"Miami, Florida, United States",['Doom metalsludge metalpower pop'],"['1992–1996, 1997, 2001–2004, 2010-2011, 2013-present']","['Season of Mist, No Idea, Bovine, Rhetoric, Noise Vacuum, Dirge, Robotic Empire']","['Steve Brooks', 'Anthony Vialon', 'Henry Wilson']","['Beatriz Monteavaro', 'Jeff Sousa', 'Juan Montoya', 'Jonathan Nunez']"
1856,Forest Stream,Doom_metal,"Chernogolovka, Russia",['Symphonic black metal  Doom metal  Gothic metal'],['1995–present'],['Earache RecordsCandlelight Records'],"['Sonm the Darkest  ', ' Stone R ', ' Wizard Omin ', ' Elhella ', ' Berserk ', ' Kir']",
1857,Funeral,Doom_metal,Norway,"['Funeral doom, death/doom metal, gothic metal']",['1991–present'],['Arctic SerenadesTabu RecordsIndie Recordings'],"['Sindre Nedland', ' Mats Lerberg', 'Anders Eek', 'Erlend E. Nybø']","['Frode Forsmo', 'Kjetil Ottersen', 'Einar André Frederiksen', 'Christian Loos', 'Thomas Angell', 'Idar Burheim', 'Oysten Rustad', 'Hanne Hukkelberg', 'Toril Snyen', 'Sarah Eick']"
1858,Gallhammer,Doom_metal,"Tokyo, Japan","['Doom metal', 'black metal', 'crust punk', 'blackened crust']",['2003–2013'],['Peaceville'],"['Vivian Slaughter', 'Lisa Reaper']",['Mika Penetrator']
1859,The Gates of Slumber,Doom_metal,"Indianapolis, Indiana, United States","['Doom metal, stoner metal']",['1997–2013'],['Rise Above'],,"['Karl Simon', 'Dr. Phibes', 'Jamie Walters', 'Brad Elliott', 'Chris Gordon', 'Chuck Brown', 'Jason McCash', 'Bob Fouts', 'J ""Cool"" Clyde Paradis']"
1860,The Gathering,Doom_metal,"Oss, the Netherlands",['Progressive rockalternative rocktrip hopshoegazinggothic metal (early)death-doom (early)'],"['1989–2014, 2018–present']","['Century Media', 'Psychonaut', 'Hammerheart', 'Sanctuary', 'The End', 'Foundation 2000', 'Season of Mist']","['René Rutten', 'Hans Rutten', 'Frank Boeijen', 'Silje Wergeland', ' ']","['Jelmer Wiersma', 'Bart Smits', 'Marike Groot', 'Niels Duffhues', 'Martine van Loon', 'Anneke van Giersbergen', 'Marjolein Kooijman']"
1861,Goatlord,Doom_metal,"Las Vegas, Nevada, United States","['Doom metal, black metal, death metal']",['1985—1997'],"['Turbo Music, JL American, Nuclear War Now Productions']",,"['Ace Still', 'Joe Frankulin', 'Jeff Nardone', 'Jeff Schwob']"
1862,Goatsnake,Doom_metal,"Los Angeles, California, United States",['Doom metal'],"['1996–2001, 2004–present']","[""Man's Ruin, Rise Above, Southern Lord, Hydra Head, Prosthetic""]",,
1863,Goblin Cock,Doom_metal," San Diego, California, United States",['Doom metaldrone metalstoner metalthrash metal'],['2005–present'],['Robcore RecordsAbsolutely KosherJoyful Noise Recordings'],"['Rob Crow', 'Nick Reinhart', 'Tony Gidlund', 'Tyler Lindgren']","['Brent Asbury', 'Kenseth Thibideau', 'Kasey Boekholdt', 'Brandon Relf', 'Nate Davis']"
1864,Ghost,Doom_metal,"Linköping, Sweden","['Hard rock', 'heavy metal', 'doom metal', 'psychedelic rock', 'progressive rock', 'pop rock']",['2006–present'],"['Iron Pegasus', 'Rise Above', 'Metal Blade', 'Trooper Ent.', 'Seven Four Ent.', 'Loma Vista']","['Tobias Forge', 'A Group of Nameless Ghouls', 'Papa Nihil', '']","['Martin Persner', 'Simon Söderberg', 'Mauro Rubino', 'Martin Hjertstedt', 'Henrik Palm', 'Gustaf Lindström', 'Aksel Holmgren', 'Rikard Ottoson', 'Linton Rubino', 'Megan Thomas', '']"
1865,Grand Magus,Doom_metal,"Stockholm, Sweden","['Heavy metal, doom metal, stoner metal']",['1999–present'],"['Rise Above, Roadrunner, Nuclear Blast']",,
1866,Green Carnation,Doom_metal,"Kristiansand, Norway","['Progressive metal', 'hard rock', 'gothic metal', 'doom metal', 'death metal']","['1990–1991, 1999−present']","['Sublife Records, Prophecy, Season Of Mist, The End']","['Terje Vik Schei', 'Kjetil Nordhus', 'Stein Roger Sordal', 'Michael Krumins', 'Jonathan Pérez', 'Kenneth Silden']",['(See: full-listing)']
1867,Greenmachine,Doom_metal,Japan,['Doom metalStoner metal'],['1995–19992003–2007'],"[""Man's Ruin RecordsDiwphalanx Records""]","['Datsu', 'Hasegawa', 'Monzawa']",['Daisaku']
1868,Grief,Doom_metal,"Boston, Massachusetts","['Doom metal, sludge metal']","['1991–2001, 2005–06, 2008–09,']","['Grievance Records, Century Media, Southern Lord, Pessimiser/Theologian, H.G. Fact']","['Jeff Hayward', 'Eric C. Harrison', 'John Heidenrich', 'Ray McCaffrey']","['Pete Donovan', 'Terry Savastano', 'Rick Johnson', 'Randy Odierno']"
1869,Heavy Lord,Doom_metal,,,,,,
1870,Hexxus,Doom_metal,,,,,,
1871,High on Fire,Doom_metal,"Oakland, California, U.S.","['Sludge metal', 'stoner metal', 'doom metal', 'thrash metal']",['1998–present'],"[""Relapse, Man's Ruin, Koch""]","['Matt Pike', 'Des Kensel', 'Jeff Matz']","['George Rice', 'Joe Preston']"
1872,The Hidden Hand,Doom_metal,"Potomac, Maryland, United States","['Doom metal, Stoner metal']",['2002–2007'],"['Southern Lord, MeteorCity, McCarthyism Records, Exile On Mainstream Records']",,"['Scott ""Wino"" Weinrich', 'Bruce Falkinburg', 'Matt Moulis', 'Dave Hennessy', 'Evan Tanner']"
1873,Hooded Menace,Doom_metal,"Joensuu, Finland",['Death-doom'],['2007-present'],"['Season of Mist, Relapse Records, Profound Lore Records']","['Lasse Pyykkö', 'Teemu Hannonen', 'Harri Kuokkanen', 'Antti Poutanen', 'Otso Ukkonen']","['Markus Makkonen', 'Oula Kerkelä', 'Antti Salminen', 'Pekka Koskelo', 'Jori Sara-aho', 'The Hunchback', 'Crimson Executioner']"
1874,Hour of 13,Doom_metal,"Hickory, North Carolina, United States",['Doom metalheavy metal'],['2006-2013 (hiatus)'],['Shadow Kingdom RecordsEyes Like SnowSvart RecordsYersinia PestisEarache Recors'],['Chad Davis'],"['Luc Valcourt', 'Corey Leonard', 'Robb Pritchard', 'Ben Hogg', 'John Mode', 'Brandon Munday', 'Mark Eles', 'Chris Taylor', 'Dave Easter', 'Ryan Adams', 'Emile Quigley', 'Anaïs Chareyre', 'Lar Bowler']"
1875,How Like a Winter,Doom_metal,"Campobasso, Italy",['Gothic metalDeath/doom'],['1995 − present'],['Martyr Music Group'],"['Dust', 'Agony', 'Tragedy', 'Misery', 'Bane', 'Mist']",
1876,Internal Void,Doom_metal,"Frederick, Maryland, United States","['Doom metal, Stoner metal']",['1987–present'],"['Hellhound, Southern Lord, Dogstreet Records']","['J.D. Williams', 'Kelly Carmichael', 'Adam Heinzmann', 'Mike Smail']","['Eric Little', 'Ronnie Kalimon']"
1877,Iron Man,Doom_metal,"Maryland, United States","['Heavy metal, doom metal']",['1988–2018'],['Hellhound RecordsBrainticket RecordsLeaf Hound RecordsShadow Kingdom RecordsRise Above RecordsMetal Blade Records'],"['Louis Strachan', '""Screaming Mad"" Dee Calhoun', 'Jason ""Mot"" Waldmann']","['Alfred Morris III', 'VIIX', 'Jared Rein', 'Jadd Schickler', 'Jon Owen', 'Gus Basilika', 'Joe Donnelly', 'Dex Dexter', 'Mike Rix', 'Rob Levey', 'Dan Michalak', 'Nando Tornado Corado', 'Larry Brown', 'Ginger', 'Kim Martin', 'Ron Kalimon', 'Gary Isom', 'Vic Tomaso']"
1878,Iron Monkey,Doom_metal,"Nottingham, England","['Sludge metal, doom metal, crust punk']","['1994–1999, 2017–present']","['Earache, Union Mill, Relapse']","['Jim Rushby', 'Steve Watson', 'Ze Big', '']","['Scott Briggs', 'Justin Greaves', 'Johnny Morrow', 'Doug Dalziel', 'Dean Berry', ""Stu O'Hara"", '']"
1879,Isis,Doom_metal,"Boston, Massachusetts, U.S.","['Post-metal', 'sludge metal']",['1997–2010 · 2018'],"['Ipecac, Robotic Empire, Hydra Head, Neurot, Escape Artist']",,"['Aaron Turner', 'Jeff Caxide', 'Aaron Harris', 'Michael Gallagher', 'Bryant Clifford Meyer', 'See members section for others']"
1880,Isole,Doom_metal,"Gävle, Sweden",['Epic doom metal'],['1990-present'],['I Hate RecordsNapalm RecordsCyclone Empire'],"['Daniel Bryntse', 'Jimmy Mattsson', 'Crister Olsson']","['Henka', 'Magnus Helin', 'Magnus Björk', 'Per Sandgren', 'Jan Larsson', 'Kim Molin', 'Jonas Lindström']"
1881,Jesu,Doom_metal,"Abergele, Wales, UK","['Shoegazing, industrial metal']",['2003–present'],"['Hydra Head, Daymare Recordings, Avalanche, Aurora Borealis, Temporary Residence Limited, Dry Run, Caldo Verde']",['Justin Broadrick'],"['Diarmuid Dalton', 'Ted Parsons']"
1882,Jucifer,Doom_metal,"Athens, Georgia, United States",['Sludge metal'],['1993-present'],"['Capricorn, Relapse, Velocette, Nomadic Fortress, Alternative Tentacles']","['Gazelle Amber Valentine', 'Edgar Livengood', '']",
1883,Katatonia,Doom_metal,"Stockholm, Sweden","['Progressive rock', 'progressive metal', 'dark rock', 'doom metal', 'death-doom (early)']","['1991–1994, 1996–2018, 2019–present']","['Peaceville, Avantgarde Music, No Fashion, Vic']","['Jonas Renkse', 'Anders Nyström', 'Niklas Sandin', 'Daniel Moilanen', 'Roger Öjersson']","['Guillaume Le Huche', 'Fredrik Norrman', 'Mikael Oretoft', 'Mattias Norrman', 'Per Eriksson', 'Daniel Liljekvist', 'Mikael Åkerfeldt']"
1884,Khanate,Doom_metal,"New York City, New York, United States","['Drone metal, sludge metal']",['2001–2006; 2009–2010'],['Southern Lord RecordsHydra Head RecordsLoad Records'],,"['Alan Dubin', 'James Plotkin', ""Stephen O'Malley"", 'Tim Wyskida']"
1885,Khlyst,Doom_metal,,,,,,
1886,Krux,Doom_metal,,,,,,
1887,Lacrimas Profundere,Doom_metal,"Waging am See, Germany",['(Early)  Death/doom  Gothic doom  (Present)  Gothic metal  Gothic rock  Hard rock  Alternative rock'],['1993–present'],['Napalm Records Oblivion/SPV'],"['Oliver Nikolas Schmid', 'Julian Larre', 'Dominik Scholz']",['See Below']
1888,Lake of Tears,Doom_metal,"Borås, Sweden",['Gothic metal  Doom metal  Progressive metal'],"['1994–2000, 2003–present']","['Black Mark, Noise, Dockyard1']","['Daniel Brennare', 'Mikael Larsson', 'Johan Oudhuis', ' ']","['Jonas Eriksson', 'Christian Saarinen', 'Ulrik Lindblom', 'Magnus Sahlgren']"
1889,Longing for Dawn,Doom_metal,"Montreal, Quebec, Canada",['Funeral doom metal'],['2002-present'],['Grau RecordsTwilight Foundation'],"['Frederic Arbour', 'Stefan Laroche', 'Simon Carignan', 'Etienne Lepage', 'Francois C. Fortin']","['Stian Weideborg', 'Sylvian Marquette']"
1890,Lyijykomppania,Doom_metal,,,,,,
1891,Mael Mórdha,Doom_metal,"Dublin, Ireland","['Doom metal, Celtic metal']",['1998–present'],"['Candlelight, Grau Records, Karmageddon Media, Deasmumhan']","['Stíofáin De Roiste', 'Gerry Clince', 'Dave Murphy', 'Shane Cahill']",
1892,The Melvins,Doom_metal,"Montesano, Washington, U.S.","['Experimental rock', 'alternative metal', 'sludge metal', 'grunge', 'hardcore punk']",['1983–present'],"['C/Z', 'Alchemy', 'Boner', 'Atlantic', 'Amphetamine Reptile', ""Man's Ruin"", 'Ipecac', 'Your Choice', 'Alternative Tentacles', 'Slap-a-Ham']","['Buzz Osborne', 'Dale Crover', 'Steven Shane McDonald', 'Jeff Pinkus', '']","['Mike Dillard', 'Matt Lukin', 'Lori Black', 'Joe Preston', 'Mark Deutrom', 'Kevin Rutmanis', 'Jared Warren', 'Coady Willis', 'Trevor Dunn', '']"
1893,Memento Mori,Doom_metal,,,,,,
1894,Memory Garden,Doom_metal,Sweden,['Doom metalHeavy metalPower metal'],['1992–present'],['Vic Records'],,
1895,Mindrot,Doom_metal,"Westminster, California, United States","['Doom metal, death metal, post-metal']",['1989–1998'],"['Tempest Records, Relapse Records, Nuclear Blast']",,"['Matt Fisher, Daniel Kaufman, Adrian Leroux, John Flood, Evan Kilbourne, Matt (Mauz) Parillo, Alfred Higdeon']"
1896,Minotauri,Doom_metal,,,,,,
1897,Minsk,Doom_metal,"Peoria, Illinois, United States","['Doom metal, post-metal, sludge metal']",['2002–present'],"['At a Loss, Relapse']","['Christopher Bennett', 'Timothy Mead', 'Aaron Austin', 'Zac Livingston', 'Ryan Thomas', 'Sanford Parker']","['Anthony Couri', 'Drew McDowell', 'Brian Barth', 'Jared Madigan', 'Dustin Addis', 'Jeff Hyde']"
1898,Mirror of Deception,Doom_metal,Germany,['Doom metal'],['1990–present'],['Cyclone EmpireThe Miskatonic FoundationFinal Chapter RecordsIron Glory Records'],"['Michael Siffermann (vocals, guitar)', 'Jochen Fopp (guitar)', 'Andreas Taller (bass)', 'Jochen Müller (drums)']","['Markus Baumhauer (vocals)', 'Klaus Shmidt (bass)', 'Rainer Hampel (bass)', 'Gunnar Drescher (drums)', 'Ingo Häderle (drums)']"
1899,Monster Magnet,Doom_metal,"Red Bank, New Jersey, United States","['Stoner rock, hard rock, heavy metal, hardcore punk, psychedelic rock']",['1989–present'],"['Circuit Records (1989)Glitterhouse (1989–1991)Caroline, Atypeek Music (1991–1993)A&M Records (1993–2003)SPV Records (2003–2009) Napalm (2009–present)']","['Dave Wyndorf', 'Garrett Sweeny', 'Phil Caivano', 'Bob Pantella', 'Chris Kosnik']","['Ed Mundell', 'Joe Calandra', 'Jon Kleiman', 'Michael Wildwood', 'John McBain', 'Tim Cronin', 'Jim Baglino']"
1900,Monumentum,Doom_metal,Italy,['Gothic rockDarkwaveGothic metalDoom metal'],['1987–present'],"['Cursed Land Entertainment, Deathlike Silence, Misanthropy, Moonfog, Necropolis, Obscure Plasma, Tatra']",['Roberto Mammarella'],
1901,Moonspell,Doom_metal,"Amadora, Lisbon, Portugal","['Gothic metal, black metal, doom metal, melodic death metal']",['1992–present'],['Adipocere (1992–1995)Century Media (1995–2005)SPV GmbH (2005–2008)Napalm (2011–present)'],"['Fernando Ribeiro', 'Miguel Gaspar', 'Pedro Paixão', 'Ricardo Amorim', 'Aires Pereira']","['João Pedro', 'Duarte Picoto', 'Luís Lamelas', 'Jorge Fonseca', 'Sérgio Crestana', 'Niclas Etelävuori', 'Waldemar Sorychta']"
1902,Monarch!,Doom_metal,"Bayonne, France",['Drone metalsludge metal'],['2002−present'],['Profound LoreMusicFearSatan'],"['Emilie ""Eurogirl"" Bresson', 'Shiran Kaïdine', 'MicHell Bidegain', 'Boubi Sablon', 'Stéphane Miollan']","['Felix Buff', 'Guillaume Lestage', 'Stephane Torre-Trueba', 'Robert Macmanus', 'Rob Shaffer']"
1903,Morgion,Doom_metal,,,,,,
1904,Morphia,Doom_metal,Netherlands,"['Death metal, doom metal, symphonic metal, gothic metal']",['1995–2008'],['Fear Dark'],,
1905,Mortification,Doom_metal,"Moorabbin, Victoria, Australia","['Christian metal, death metal, thrash metal, groove metal, grindcore']",['1987\xa0(1987)–present'],"['Intense, Nuclear Blast, Rowe']","['Steve Rowe', 'Lincoln Bowen', 'Andrew Esnouf']","['Jayson Sherlock', 'Phil Gibson', 'Keith Bannister', 'Bill Rice', 'Dave Kilgallon', 'Mike Forsberg', 'Cameron Hall', 'Michael Carlisle', 'Jeff Lewis', 'Damien Percy', 'George Ochoa', 'Adam Zaffarese', 'Mick Jelinic']"
1906,Moss,Doom_metal,"Southampton, England","['Doom metal, sludge metal']",['2001 – 2015'],"['Rise Above, Metal Blade']","['Olly Pearson', 'Dom Finbow', 'Chris Chantler']",
1907,Mournful Congregation,Doom_metal,"Adelaide, South Australia",['Funeral doom metal'],['1993–present'],"['Osmose Productions, Weird Truth Productions, 20 Buck Spin, Obsidian Records, Painiac Records, Ostra Records']","['Damon Good', 'Justin Hartwig', 'Ben Newsome', 'Tim Call']","['Adrian Bickle', 'Stuart Prickett', 'Ben Petch', 'Nick Hansen', 'Sean Graetz', 'Mark Bodossian', 'Denny Blake']"
1908,Mouth of the Architect,Doom_metal,"Dayton, Ohio, United States",['Sludge metalPost-metalDoom metal'],['2003–present'],['Translation Loss'],"['Dave Mann', 'Jason Watkins', 'Alex Vernon', 'Canada Marsh', 'Caleb Nason']","['Kevin Schindel', 'Steve Brooks', 'Evan Danielson', 'John Lakes', 'Gregory Lahm', 'Derik Sommer']"
1909,My Dying Bride,Doom_metal,"Bradford, West Yorkshire, England",['Doom metalgothic metaldeath-doom'],['1990–present'],['Peaceville Records'],"['Aaron Stainthorpe', 'Andrew Craighan', 'Lena Abé', 'Shaun MacGowan', 'Calvin Robertshaw', 'Jeff Singer']","['Martin Powell', 'Yasmin Ahmed', 'Bill Law', 'Rick Miah', 'Adrian Jackson', 'Sarah Stanton', 'Katie Stone', 'Dan Mullins', 'Hamish Glencross', 'Shaun Taylor-Steels']"
1910,My Shameful,Doom_metal,,,,,,
1911,Necare,Doom_metal,"Newport News, VA","['Death metal, doom metal']",['1999–2004'],['Firebox Records'],"[' aka R.H.', 'Greer Cawthon']",
1912,Neurosis,Doom_metal,"Oakland, California, U.S.","['Post-metal', 'doom metal', 'hardcore punk', 'industrial metal']",['1985–present'],"['Neurot', 'Relapse', 'Alternative Tentacles', 'Lookout!', 'Alchemy', 'Your Choice']","['Scott Kelly', 'Steve Von Till', 'Dave Edwardson', 'Noah Landis', 'Jason Roeder', '']","['Adam G. Kendall', 'Pete Inc.', 'Simon McIlroy', 'Chad Salter', 'Pete Rypins', 'Josh Graham', '']"
1913,Nortt,Doom_metal,"Odense, Denmark","['Black-doom, funeral doom, dark ambient']",['1995–present'],"['Total Holocaust, Avantgarde Music, Southern Lord']",,
1914,Novembers Doom,Doom_metal,"Chicago, Illinois, United States","['Death-doom, progressive metal']",['1989–present'],"['Avantgarde, Dark Symphonies, Martyr Music Group, The End, Prophecy Productions']","['Paul Kuhr', ' Lawrence Roberts', ' Vito Marchese', 'Mike Feldman', 'Garry Naples']","['Mary Bielich', 'Eric Burnley', 'Jim Dobleski', 'Cathy Jo Hejna', 'Joe Hernandez', 'Ron Holzner', 'Sasha Horn', 'Abbas Jaffary', 'Eric Kikke', 'Alex Gramling', 'Mike LeGros', 'Steve Nicholson', 'David Sweeney', 'Joe Nunez', 'Brian Whited', 'Chris Wisco', 'Jason Armalius', 'Andrew Lindsey']"
